,Unnamed: 0,Unnamed: 0.1,bbox_id,air_quality,area,closest_shop,cloud_cover,humidity,shops_amount,temperature,inappropriate_type,flat_roof,gabled_roof,round_roof
55,55,55,Kyiv1,71,399.585423781445,230,0.54,0.73,12.0,8.98,0,0,0,0
56,56,56,Kyiv1,62,341.989067203073,27,0.54,0.73,45.0,8.91,0,0,0,0
57,57,57,Kyiv1,62,472.586642869051,41,0.54,0.73,59.0,8.91,0,0,0,0
58,58,58,Kyiv1,62,535.941917812271,36,0.54,0.73,64.0,8.91,0,0,0,0
59,59,59,Kyiv1,71,245.13926970194905,114,0.54,0.73,18.0,8.98,0,0,0,0
60,60,60,Kyiv1,71,1560.1451822931301,118,0.54,0.73,23.0,8.98,0,0,0,0
61,61,61,Kyiv1,71,321.594046537674,40,0.54,0.73,15.0,8.98,0,0,0,0
62,62,62,Kyiv1,62,71.47965668431141,10,0.54,0.73,37.0,8.91,0,0,0,0
63,63,63,Kyiv1,62,392.565261550192,74,0.54,0.73,71.0,8.91,0,0,0,0
64,64,64,Kyiv1,71,479.80388644777,20,0.54,0.73,30.0,8.98,0,0,0,0
65,65,65,Kyiv1,71,1452.26868891371,30,0.54,0.73,15.0,8.98,0,1,0,0
66,66,66,Kyiv1,71,5106.871498061029,228,0.54,0.73,8.0,8.98,0,0,0,0
67,67,67,Kyiv1,62,243.523224160943,32,0.54,0.73,62.0,8.91,0,0,0,0
68,68,68,Kyiv1,62,631.8259685816,38,0.54,0.73,39.0,8.91,0,0,0,0
69,69,69,Kyiv1,62,683.5468505754869,69,0.54,0.73,24.0,8.91,0,0,0,0
70,70,70,Kyiv1,62,388.563044595691,126,0.54,0.73,37.0,8.91,0,0,0,0
71,71,71,Kyiv1,71,582.100933438156,114,0.54,0.73,24.0,8.98,0,0,1,0
72,72,72,Kyiv1,71,182.49795676332002,43,0.54,0.73,13.0,8.98,0,0,0,0
73,73,73,Kyiv1,71,1045.94831154627,243,0.54,0.73,3.0,8.98,0,0,0,0
74,74,74,Kyiv1,71,504.105424744872,71,0.54,0.73,24.0,8.98,0,0,0,0
75,75,75,Kyiv1,62,597.497606919244,23,0.54,0.73,69.0,8.91,0,0,0,0
76,76,76,Kyiv1,62,1065.9233286189599,109,0.54,0.73,35.0,8.91,0,0,0,0
77,77,77,Kyiv1,62,460.80945685972,22,0.54,0.73,40.0,8.91,0,0,0,0
78,78,78,Kyiv1,62,383.143785881408,67,0.54,0.73,51.0,8.91,0,0,0,0
79,79,79,Kyiv1,62,190.778879668993,103,0.54,0.73,59.0,8.91,0,0,1,0
80,80,80,Kyiv1,62,394.430746928881,125,0.54,0.73,13.0,8.91,0,1,0,0
81,81,81,Kyiv1,62,869.969078212602,36,0.54,0.73,56.0,8.91,0,0,0,0
82,82,82,Kyiv1,71,131.05436820652702,3,0.54,0.73,21.0,8.98,0,0,0,0
83,83,83,Kyiv1,71,573.268306677238,137,0.54,0.73,23.0,8.98,0,0,0,0
84,84,84,Kyiv1,62,408.89395900519514,69,0.54,0.73,43.0,8.91,0,0,0,0
85,85,85,Kyiv1,62,584.862437865678,27,0.54,0.73,47.0,8.91,0,0,0,0
86,86,86,Kyiv1,62,1464.9333404065899,28,0.54,0.73,49.0,8.91,0,0,0,0
87,87,87,Kyiv1,71,333.758265443455,138,0.54,0.73,23.0,8.98,0,0,0,0
88,88,88,Kyiv1,71,745.6224447317053,89,0.54,0.73,13.0,8.98,0,0,0,0
89,89,89,Kyiv1,62,363.17464462669295,34,0.54,0.73,40.0,8.91,1,0,0,0
90,90,90,Kyiv1,62,807.092535145515,130,0.54,0.73,48.0,8.91,0,1,0,0
91,91,91,Kyiv1,62,2132.89910322099,41,0.54,0.73,13.0,8.91,0,0,0,0
92,92,92,Kyiv1,62,625.217588249728,21,0.54,0.73,16.0,8.91,0,0,0,0
93,93,93,Kyiv1,62,890.491712752699,93,0.54,0.73,55.0,8.91,0,0,0,0
94,94,94,Kyiv1,62,447.908840085501,63,0.54,0.73,15.0,8.91,0,0,0,0
95,95,95,Kyiv1,62,492.800551458786,93,0.54,0.73,41.0,8.91,0,0,0,0
96,96,96,Kyiv1,71,343.94503950322996,72,0.54,0.73,31.0,8.98,0,0,0,0
97,97,97,Kyiv1,62,444.520144110055,73,0.54,0.73,79.0,8.91,0,0,0,0
98,98,98,Kyiv1,62,448.198539543943,92,0.54,0.73,44.0,8.91,0,1,0,0
99,99,99,Kyiv1,71,131.74749438978398,100,0.54,0.73,12.0,8.98,0,0,0,0
100,100,100,Kyiv2,73,664.743446924846,167,0.54,0.75,3.0,8.64,0,0,0,0
101,101,101,Kyiv2,73,1324.21848003593,107,0.54,0.75,3.0,8.64,0,0,0,0
102,102,102,Kyiv2,73,39.2801490049794,344,0.54,0.75,3.0,8.64,0,0,0,0
103,103,103,Kyiv2,67,1114.9836787556,80,0.54,0.74,3.0,8.66,0,0,0,0
104,104,104,Kyiv2,67,30.07293154440089,310,0.54,0.74,2.0,8.66,0,0,0,0
105,105,105,Kyiv2,67,258.60785291082,172,0.54,0.74,2.0,8.66,0,0,0,0
106,106,106,Kyiv2,73,666.948263474002,153,0.54,0.75,2.0,8.64,0,0,0,0
107,107,107,Kyiv2,67,450.26831512002997,91,0.54,0.74,3.0,8.66,0,0,1,0
108,108,108,Kyiv2,67,685.179400410305,299,0.54,0.74,2.0,8.66,0,0,0,0
109,109,109,Kyiv2,73,33.876757461304805,446,0.54,0.75,2.0,8.64,0,1,0,0
110,110,110,Kyiv2,73,1047.5711013643304,226,0.54,0.75,3.0,8.64,0,0,0,0
111,111,111,Kyiv2,67,2987.0775149185997,466,0.54,0.74,3.0,8.66,0,0,0,0
112,112,112,Kyiv2,67,1027.83853628611,311,0.54,0.74,2.0,8.66,0,0,0,0
113,113,113,Kyiv2,73,20.4179911354722,226,0.54,0.75,3.0,8.64,0,0,0,0
114,114,114,Kyiv2,73,1761.0343042686802,371,0.54,0.75,2.0,8.64,0,0,0,0
115,115,115,Kyiv2,67,67.9222569976888,160,0.54,0.74,2.0,8.66,0,0,0,0
116,116,116,Kyiv2,67,41.5995052402904,56,0.54,0.74,3.0,8.66,0,0,0,0
117,117,117,Kyiv2,67,808.0771229989549,71,0.54,0.74,3.0,8.66,0,0,0,0
118,118,118,Kyiv2,67,291.408369808227,221,0.54,0.74,4.0,8.66,0,0,0,0
119,119,119,Kyiv2,73,27.704918637457197,366,0.54,0.75,3.0,8.64,0,0,0,0
120,120,120,Kyiv2,73,58.891731044153296,401,0.54,0.75,1.0,8.64,0,0,0,0
121,121,121,Kyiv2,67,1540.03607394039,131,0.54,0.74,2.0,8.66,0,0,0,0
122,122,122,Kyiv2,67,729.063881692695,219,0.54,0.74,2.0,8.66,0,0,0,0
123,123,123,Kyiv2,67,533.913114980374,204,0.54,0.74,4.0,8.66,0,0,0,0
124,124,124,Kyiv2,67,109.316036078144,84,0.54,0.74,3.0,8.66,0,0,0,0
125,125,125,Kyiv2,73,1496.03339542373,340,0.54,0.75,2.0,8.64,0,0,0,0
126,126,126,Kyiv2,67,1844.91974863572,189,0.54,0.74,3.0,8.66,0,0,0,0
127,127,127,Kyiv2,67,1044.6394726256801,216,0.54,0.74,4.0,8.66,0,0,0,0
128,128,128,Kyiv2,73,825.0192226443597,310,0.54,0.75,3.0,8.64,0,0,0,0
129,129,129,Kyiv2,67,127.56970696593599,273,0.54,0.74,2.0,8.66,0,0,1,0
130,130,130,Kyiv2,73,590.353056580342,198,0.54,0.75,4.0,8.64,0,0,0,0
131,131,131,Kyiv2,73,163.137675515846,123,0.54,0.75,3.0,8.64,0,0,0,0
132,132,132,Kyiv2,67,673.7841929267099,407,0.54,0.74,4.0,8.66,0,0,0,0
133,133,133,Kyiv2,67,74.7386132838548,441,0.54,0.74,2.0,8.66,0,0,0,0
134,134,134,Kyiv2,73,883.6678777895979,144,0.54,0.75,3.0,8.64,0,0,1,0
135,135,135,Kyiv2,73,912.499478650957,302,0.54,0.75,2.0,8.64,0,0,0,0
136,136,136,Kyiv2,73,253.525737727699,687,0.54,0.75,0.0,8.64,0,1,0,0
137,137,137,Kyiv2,67,881.322480235993,128,0.54,0.74,3.0,8.66,0,0,0,0
138,138,138,Kyiv2,67,177.224828474949,276,0.54,0.74,3.0,8.66,0,0,0,0
139,139,139,Kyiv2,67,101.08351476885099,239,0.54,0.74,3.0,8.66,0,1,0,0
140,140,140,Kyiv2,67,349.1479963451281,404,0.54,0.74,1.0,8.66,0,0,0,0
141,141,141,Kyiv2,67,666.3069843566919,200,0.54,0.74,3.0,8.66,0,0,0,0
142,142,142,Kyiv2,67,22.5918269947959,351,0.54,0.74,3.0,8.66,0,0,0,0
143,143,143,Kyiv2,73,1232.3815446997196,461,0.54,0.75,1.0,8.64,0,0,0,0
144,144,144,Kyiv2,67,349.84322911884004,97,0.54,0.74,3.0,8.66,0,0,0,0
145,145,145,Kyiv2,67,1352.29494388377,223,0.54,0.74,2.0,8.66,1,0,0,0
