,_id,addr:housenumber,addr:street,air_quality,amenity,area,bbox_id,building,building_centroid,closest_shop,cloud_cover,description,geometry,height,humidity,name,request_area_bottom_left,request_area_top_right,shops_amount,temperature
573,{'$oid': '5bd44c4847f89e35326a80b4'},,,81,,96.93735301437417,Berlin1,,"{'type': 'Point', 'coordinates': [13.237902249999998, 52.42057215000001]}",1151,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2378339, 52.4206199], [13.2379624, 52.4206238], [13.2379706, 52.4205244], [13.2378421, 52.4205205], [13.2378339, 52.4206199]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.57
1176,{'$oid': '5bd44c4847f89e35326a830f'},,,81,,21.98299989772911,Berlin1,garage,"{'type': 'Point', 'coordinates': [13.249390365313111, 52.420635951770215]}",663,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2493508, 52.4206591], [13.2493366, 52.4206305], [13.2494303, 52.420613], [13.2494443, 52.4206411], [13.2493508, 52.4206591]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
258,{'$oid': '5bd44c4847f89e35326a7f79'},,,81,,189.85423447344672,Berlin1,,"{'type': 'Point', 'coordinates': [13.240332010151564, 52.41380594283216]}",724,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2401858, 52.4137593], [13.2402818, 52.4138839], [13.2404962, 52.4138224], [13.2404492, 52.4137613], [13.2403785, 52.4137804], [13.2403682, 52.4137649], [13.240343, 52.4137627], [13.2403135, 52.413768], [13.2403145, 52.4137673], [13.2402862, 52.4137305], [13.2401858, 52.4137593]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
1233,{'$oid': '5bd44c4847f89e35326a8348'},,,81,,19.059871362885914,Berlin1,garage,"{'type': 'Point', 'coordinates': [13.236973626452276, 52.422834400594624]}",1511,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2369265, 52.4228472], [13.2369255, 52.4228216], [13.236949, 52.422821], [13.237021, 52.4228212], [13.2370205, 52.4228479], [13.2369742, 52.4228479], [13.2369265, 52.4228472]]]}",6.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.57
45,{'$oid': '5bd44c4847f89e35326a7ea4'},,,81,,65.65873259159375,Berlin1,terrace,"{'type': 'Point', 'coordinates': [13.235529415827271, 52.42144656241527]}",1458,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2355932, 52.4214799], [13.2355244, 52.4214802], [13.2354602, 52.4214793], [13.2354615, 52.4214218], [13.2355244, 52.4214212], [13.2355251, 52.4213998], [13.2355663, 52.4214006], [13.2355673, 52.4214211], [13.2355945, 52.4214212], [13.2355932, 52.4214799]]]}",9.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.57
934,{'$oid': '5bd44c4847f89e35326a821d'},,,81,,106.28110822135082,Berlin1,,"{'type': 'Point', 'coordinates': [13.24257715460727, 52.417103069190425]}",391,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.242511, 52.4171249], [13.2425034, 52.4171499], [13.2426168, 52.4171627], [13.2426244, 52.4171378], [13.2426373, 52.4171393], [13.2426612, 52.417061], [13.242524, 52.4170454], [13.2425001, 52.4171237], [13.242511, 52.4171249]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",2,11.58
163,{'$oid': '5bd44c4847f89e35326a7f1a'},,,81,,503.96692514546135,Berlin1,apartments,"{'type': 'Point', 'coordinates': [13.247515585129005, 52.419507249913664]}",547,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2475525, 52.4195015], [13.2475484, 52.419531], [13.2475365, 52.4195303], [13.2475309, 52.4195705], [13.247542, 52.419571], [13.2475352, 52.4196195], [13.2472096, 52.4196026], [13.2472243, 52.4194977], [13.2473777, 52.4195057], [13.2473756, 52.4195207], [13.2474801, 52.4195261], [13.247484, 52.4194984], [13.2474988, 52.4193927], [13.2476251, 52.4193992], [13.247624, 52.4194071], [13.24776, 52.4194142], [13.2477612, 52.4194055], [13.2478224, 52.4194087], [13.2478076, 52.4195148], [13.2475525, 52.4195015]]]}",27.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
1496,{'$oid': '5bd44c4847f89e35326a844f'},,,81,,55.85504785408034,Berlin1,terrace,"{'type': 'Point', 'coordinates': [13.248942437359489, 52.41726250405137]}",164,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2489088, 52.4173099], [13.2488963, 52.417225], [13.2488959, 52.4172192], [13.2489755, 52.4172147], [13.2489893, 52.4173028], [13.2489892, 52.4173059], [13.2489088, 52.4173099]]]}",9.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",3,11.58
731,{'$oid': '5bd44c4847f89e35326a8152'},,,81,,99.1915033831018,Berlin1,,"{'type': 'Point', 'coordinates': [13.239126121418925, 52.41779965538782]}",794,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2390424, 52.4178375], [13.2391755, 52.4178556], [13.2392098, 52.4177618], [13.2390768, 52.4177437], [13.2390424, 52.4178375]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.56
703,{'$oid': '5bd44c4847f89e35326a8136'},,,81,,168.34607702566169,Berlin1,,"{'type': 'Point', 'coordinates': [13.238569762114132, 52.41508995582249]}",825,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2386371, 52.4150642], [13.2386337, 52.4150343], [13.2384461, 52.4150421], [13.2384567, 52.415136], [13.2386369, 52.4151285], [13.2386397, 52.415153], [13.238696, 52.4151506], [13.2386861, 52.4150621], [13.2386371, 52.4150642]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.56
1595,{'$oid': '5bd44c4847f89e35326a84b2'},,,81,,180.2822799553492,Berlin1,,"{'type': 'Point', 'coordinates': [13.248160299912678, 52.420878360126586]}",741,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2480311, 52.4209132], [13.2482342, 52.4209518], [13.2482816, 52.4208589], [13.2482382, 52.4208507], [13.2482507, 52.4208262], [13.248134, 52.420804], [13.2481214, 52.4208287], [13.2480785, 52.4208205], [13.2480311, 52.4209132]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
865,{'$oid': '5bd44c4847f89e35326a81d8'},,,81,,10.923940220855776,Berlin1,hut,"{'type': 'Point', 'coordinates': [13.2423644, 52.41775825]}",453,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2423329, 52.4177498], [13.2423519, 52.4177778], [13.2423959, 52.4177667], [13.2423769, 52.4177387], [13.2423329, 52.4177498]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",1,11.58
57,{'$oid': '5bd44c4847f89e35326a7eb0'},,,81,,69.82134112806614,Berlin1,terrace,"{'type': 'Point', 'coordinates': [13.241423539472121, 52.42208305027301]}",1115,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2413491, 52.4221139], [13.2413501, 52.4220516], [13.2414979, 52.4220521], [13.2414969, 52.4221146], [13.2413491, 52.4221139]]]}",12.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
693,{'$oid': '5bd44c4847f89e35326a812c'},,,81,,28.940417370016124,Berlin1,,"{'type': 'Point', 'coordinates': [13.238001003437011, 52.41862916153722]}",961,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2380338, 52.4186217], [13.2380365, 52.4185957], [13.2379779, 52.4185935], [13.2379706, 52.4186655], [13.2380209, 52.4186674], [13.2380243, 52.4186214], [13.2380338, 52.4186217]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.57
67,{'$oid': '5bd44c4847f89e35326a7eba'},,,81,,68.53728500808309,Berlin1,terrace,"{'type': 'Point', 'coordinates': [13.23907189021623, 52.42160269336848]}",1188,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2389978, 52.421633], [13.2389987, 52.4215716], [13.239146, 52.4215723], [13.2391449, 52.4216339], [13.2389978, 52.421633]]]}",12.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.57
1448,{'$oid': '5bd44c4847f89e35326a841f'},,,81,,43.47642040475135,Berlin1,garage,"{'type': 'Point', 'coordinates': [13.2501891483319, 52.417661139447794]}",113,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2501259, 52.4176792], [13.2501379, 52.4176426], [13.2501429, 52.4176292], [13.2502253, 52.4176395], [13.2502526, 52.4176435], [13.2502355, 52.4176932], [13.2501259, 52.4176792]]]}",6.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",1,11.58
476,{'$oid': '5bd44c4847f89e35326a8053'},,,81,,50.17377987546883,Berlin1,,"{'type': 'Point', 'coordinates': [13.240629033571121, 52.42107896691593]}",1006,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2405874, 52.4211194], [13.2406684, 52.4211203], [13.2406707, 52.4210385], [13.2405896, 52.4210377], [13.2405874, 52.4211194]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
565,{'$oid': '5bd44c4847f89e35326a80ac'},,,81,,116.91605262615201,Berlin1,,"{'type': 'Point', 'coordinates': [13.235758391653818, 52.42056052394203]}",1346,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2356902, 52.42062], [13.2358151, 52.4206243], [13.2358266, 52.4205011], [13.2357017, 52.4204967], [13.2356902, 52.42062]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.57
1076,{'$oid': '5bd44c4847f89e35326a82ab'},133,Ernst-Lemmer-Ring,81,,65.17946005044097,Berlin1,,"{'type': 'Point', 'coordinates': [13.24534782886782, 52.42284452986074]}",1132,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2452698, 52.4228089], [13.2452522, 52.422856], [13.2454258, 52.4228802], [13.2454434, 52.422833], [13.2452698, 52.4228089]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
50,{'$oid': '5bd44c4847f89e35326a7ea9'},,,81,,133.88965211973775,Berlin1,,"{'type': 'Point', 'coordinates': [13.24093894259421, 52.4222309711518]}",1164,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.240842, 52.4222765], [13.2408433, 52.4221847], [13.2410359, 52.4221854], [13.2410345, 52.4222773], [13.240842, 52.4222765]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
1334,{'$oid': '5bd44c4847f89e35326a83ad'},,,81,,18.382768714836118,Berlin1,garage,"{'type': 'Point', 'coordinates': [13.237002843514107, 52.42194061119265]}",1392,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2369516, 52.4219545], [13.2369526, 52.4219504], [13.2369593, 52.4219504], [13.2369602, 52.4219268], [13.2370479, 52.4219268], [13.2370471, 52.4219538], [13.2369516, 52.4219545]]]}",6.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.57
1265,{'$oid': '5bd44c4847f89e35326a8368'},,,81,,15.902289191540493,Berlin1,garage,"{'type': 'Point', 'coordinates': [13.23851662483621, 52.422838310237026]}",1404,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.238537, 52.4228638], [13.2384956, 52.4228636], [13.2384963, 52.4228128], [13.2385376, 52.422813], [13.238537, 52.4228638]]]}",6.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.57
92,{'$oid': '5bd44c4847f89e35326a7ed3'},,,81,,61.047233380554886,Berlin1,terrace,"{'type': 'Point', 'coordinates': [13.240646198057046, 52.42246787811195]}",1218,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.240571, 52.4224945], [13.2405716, 52.4224407], [13.2407213, 52.4224412], [13.2407208, 52.4224951], [13.240571, 52.4224945]]]}",9.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
1506,{'$oid': '5bd44c4847f89e35326a8459'},,,81,,16.200899848235775,Berlin1,garage,"{'type': 'Point', 'coordinates': [13.2498839, 52.416661399999995]}",90,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2499207, 52.4166795], [13.2498378, 52.4166678], [13.2498471, 52.4166433], [13.24993, 52.416655], [13.2499207, 52.4166795]]]}",6.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",3,11.58
556,{'$oid': '5bd44c4847f89e35326a80a3'},,,81,,76.32613352287699,Berlin1,,"{'type': 'Point', 'coordinates': [13.236147200000001, 52.419672549999994]}",1228,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2360667, 52.419699], [13.2362022, 52.4197171], [13.2362277, 52.4196461], [13.2360922, 52.419628], [13.2360667, 52.419699]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.57
445,{'$oid': '5bd44c4847f89e35326a8034'},,,81,,42.11393045407956,Berlin1,,"{'type': 'Point', 'coordinates': [13.237194074886046, 52.42102260528515]}",1264,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2371469, 52.4210521], [13.2372406, 52.4210525], [13.2372412, 52.4209931], [13.2371476, 52.4209927], [13.2371469, 52.4210521]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.57
414,{'$oid': '5bd44c4847f89e35326a8015'},,,81,,23.149982953628673,Berlin1,,"{'type': 'Point', 'coordinates': [13.236463796311641, 52.41753458257726]}",1074,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2364973, 52.4175502], [13.2365245, 52.4175532], [13.2365314, 52.4175301], [13.236403, 52.417516], [13.2363961, 52.417539], [13.2364973, 52.4175502]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.56
855,{'$oid': '5bd44c4847f89e35326a81ce'},,,81,,124.08472315533396,Berlin1,,"{'type': 'Point', 'coordinates': [13.240540977088312, 52.4180162464216]}",657,0.61,,"{'type': 'Polygon', 'coordinates': [[[13.2404822, 52.417963], [13.2404657, 52.4179606], [13.2404526, 52.4180005], [13.2404519, 52.4180004], [13.24044, 52.4180366], [13.2404759, 52.418041], [13.24047, 52.4180589], [13.2406004, 52.4180748], [13.2406114, 52.4180413], [13.2406248, 52.4180429], [13.2406447, 52.4179825], [13.2406274, 52.4179801], [13.2404822, 52.417963]]]}",15.0,0.7,,"{'type': 'Point', 'coordinates': [13.234406, 52.412891]}","{'type': 'Point', 'coordinates': [13.25071, 52.423036]}",0,11.58
