,air_quality,area,bbox_id,closest_shop,cloud_cover,humidity,shops_amount,temperature,roof_tupe
6104,80,222.972798392151,NY2,133,0.57,0.72,26,,
6105,80,192.686191092901,NY2,23,0.57,0.72,42,,flat
6106,80,185.887247328112,NY2,15,0.57,0.72,38,,
6107,80,454.340513945685,NY2,50,0.57,0.72,34,,
6108,80,218.270191815936,NY2,215,0.57,0.72,17,,
6109,80,153.772260781817,NY2,246,0.57,0.72,16,,
6110,80,1412.47615228362,NY2,41,0.57,0.72,37,,
6111,80,135.112322337391,NY2,34,0.57,0.72,41,,
6112,80,113.972934337808,NY2,112,0.57,0.72,22,,
6113,80,180.529336973816,NY2,34,0.57,0.72,36,,
6114,80,456.429922014256,NY2,18,0.57,0.72,42,,
6115,80,516.044663756802,NY2,85,0.57,0.72,19,,
6116,80,119.201129495434,NY2,53,0.57,0.72,34,,flat
6117,80,1297.58984586393,NY2,38,0.57,0.72,41,,
6118,80,128.582963641235,NY2,75,0.57,0.72,43,,
6119,80,53.8882402742621,NY2,83,0.57,0.72,34,,
6120,80,139.040038717582,NY2,42,0.57,0.72,33,,inappropriate
6121,80,217.821364089909,NY2,53,0.57,0.72,40,,
6122,80,297.600825023633,NY2,148,0.57,0.72,18,,
6123,80,1026.96200556638,NY2,44,0.57,0.72,42,,
6124,80,238.049474069767,NY2,121,0.57,0.72,31,,flat
6125,80,303.31637149784,NY2,56,0.57,0.72,40,,
6126,80,229.498683980774,NY2,65,0.57,0.72,32,,
6127,80,342.341092535447,NY2,20,0.57,0.72,39,,
6128,80,181.391555907181,NY2,79,0.57,0.72,33,,
6129,80,339.073171302522,NY2,112,0.57,0.72,33,,
6130,80,217.138848829713,NY2,16,0.57,0.72,40,,flat
6131,80,709.362477794368,NY2,99,0.57,0.72,37,,
6132,80,280.936231164951,NY2,53,0.57,0.72,40,,flat
6133,80,341.81729958628,NY2,48,0.57,0.72,33,,
6134,80,105.36266098304,NY2,72,0.57,0.72,32,,
6135,80,187.792259555895,NY2,225,0.57,0.72,14,,flat
6136,80,162.622339012451,NY2,14,0.57,0.72,42,,inappropriate
6137,80,212.032406809402,NY2,248,0.57,0.72,14,,
6138,80,168.368187300779,NY2,49,0.57,0.72,34,,flat
6139,80,150.440692381831,NY2,38,0.57,0.72,43,,
6140,80,127.239174962205,NY2,15,0.57,0.72,39,,
6141,80,176.724724212363,NY2,63,0.57,0.72,42,,
6142,80,260.256736110624,NY2,80,0.57,0.72,32,,
6143,80,95.1174480836026,NY2,48,0.57,0.72,30,,
6144,80,91.3243838352313,NY2,16,0.57,0.72,41,,
6145,80,961.778039441465,NY2,495,0.57,0.72,1,,gabled
6146,80,101.729120153736,NY2,26,0.57,0.72,40,,
6147,80,985.135110780531,NY2,157,0.57,0.72,28,,
6148,80,241.433920197575,NY2,43,0.57,0.72,37,,
6149,80,162.413363889459,NY2,32,0.57,0.72,42,,
6150,80,172.619739687431,NY2,186,0.57,0.72,22,,
6151,80,166.661837260163,NY2,39,0.57,0.72,42,,
6152,80,136.010868057277,NY2,68,0.57,0.72,36,,
6153,80,495.617290122622,NY2,316,0.57,0.72,13,,
6154,80,155.171593173323,NY2,17,0.57,0.72,33,,
6155,80,139.737855968947,NY2,87,0.57,0.72,43,,flat
6156,80,94.9912944315244,NY2,47,0.57,0.72,24,,round
6157,80,161.733664627563,NY2,10,0.57,0.72,38,,
6158,80,181.068319640033,NY2,235,0.57,0.72,22,,
6159,80,175.818436686855,NY2,65,0.57,0.72,29,,flat
6160,80,104.730308427636,NY2,32,0.57,0.72,34,,
6161,80,180.166820245841,NY2,76,0.57,0.72,37,,
6162,80,195.270459539649,NY2,14,0.57,0.72,36,,inappropriate
6163,80,183.631305360337,NY2,152,0.57,0.72,20,,gabled
6164,80,186.146636014013,NY2,51,0.57,0.72,41,,
6165,80,123.713653397769,NY2,87,0.57,0.72,22,,
6166,80,105.747168544642,NY2,29,0.57,0.72,39,,gabled
6167,80,98.1188775343358,NY2,21,0.57,0.72,43,,flat
6168,80,95.2939397330694,NY2,41,0.57,0.72,40,,
6169,80,327.088147854915,NY2,16,0.57,0.72,38,,
6170,80,100.96281983944,NY2,18,0.57,0.72,33,,
6171,80,235.330634698068,NY2,141,0.57,0.72,26,,
6172,80,215.916908005864,NY2,3,0.57,0.72,40,,flat
6173,80,181.391119314448,NY2,86,0.57,0.72,32,,
6174,80,183.198868553592,NY2,12,0.57,0.72,43,,flat
6175,80,297.983166770202,NY2,188,0.57,0.72,22,,
6176,80,208.338216502596,NY2,191,0.57,0.72,20,,
6177,80,223.202463445445,NY2,45,0.57,0.72,37,,
6178,80,275.094289356966,NY2,33,0.57,0.72,35,,
6179,80,1465.37320336765,NY2,184,0.57,0.72,21,,gabled
6180,80,138.353723564772,NY2,20,0.57,0.72,40,,flat
6181,80,93.6542283410787,NY2,59,0.57,0.72,43,,
6182,80,106.554619275563,NY2,37,0.57,0.72,29,,
6183,80,185.10656103438,NY2,49,0.57,0.72,43,,
6184,80,160.16097285707,NY2,139,0.57,0.72,32,,
6185,80,119.468371984081,NY2,43,0.57,0.72,34,,
6186,80,84.5479270907792,NY2,80,0.57,0.72,42,,
6187,80,148.666033513565,NY2,13,0.57,0.72,43,,
6188,80,211.486022443997,NY2,43,0.57,0.72,26,,
6189,80,214.68485919019,NY2,34,0.57,0.72,41,,flat
6190,80,186.006565418393,NY2,67,0.57,0.72,36,,
6191,80,159.05564165061,NY2,10,0.57,0.72,41,,
6192,80,162.470116292876,NY2,8,0.57,0.72,35,,
6193,80,702.745183570797,NY2,69,0.57,0.72,36,,inappropriate
6194,80,177.570482594734,NY2,3,0.57,0.72,39,,
6195,80,129.015689980173,NY2,31,0.57,0.72,41,,
6196,80,182.757325086207,NY2,27,0.57,0.72,40,,
6197,80,153.491656772087,NY2,66,0.57,0.72,43,,
6198,80,1700.04044911102,NY2,521,0.57,0.72,0,,
6199,80,125.243524090958,NY2,62,0.57,0.72,39,,
6200,81,114.293938466027,NY3,167,0.57,0.71,15,,
6201,81,502.787437982782,NY3,107,0.57,0.71,26,,
6202,81,763.753788360087,NY3,201,0.57,0.71,8,,
6203,81,352.552433499578,NY3,35,0.57,0.71,23,,
6204,81,305.599735392313,NY3,13,0.57,0.71,25,,
6205,81,192.131472419134,NY3,11,0.57,0.71,31,,
6206,81,1105.85247294259,NY3,36,0.57,0.71,25,,
6207,81,173.751882812691,NY3,57,0.57,0.71,31,,
6208,81,169.109841710106,NY3,218,0.57,0.71,8,,flat
6209,81,240.195162271384,NY3,89,0.57,0.71,29,,flat
6210,81,205.517518467323,NY3,79,0.57,0.71,20,,
6211,81,231.466325506955,NY3,16,0.57,0.71,29,,
6212,81,207.669113403218,NY3,241,0.57,0.71,7,,round
6213,81,209.142592208536,NY3,56,0.57,0.71,29,,flat
6214,81,294.373977594663,NY3,36,0.57,0.71,27,,
6215,81,554.13263854899,NY3,31,0.57,0.71,32,,
6216,81,3351.31646638284,NY3,145,0.57,0.71,23,,
6217,81,539.51682822903,NY3,59,0.57,0.71,30,,
6218,81,377.234954882059,NY3,55,0.57,0.71,32,,
6219,81,333.644135201852,NY3,57,0.57,0.71,25,,
6220,81,832.102300897473,NY3,50,0.57,0.71,25,,
6221,81,189.099537963155,NY3,30,0.57,0.71,30,,
6222,81,195.612342917155,NY3,15,0.57,0.71,24,,
6223,81,379.234440546636,NY3,69,0.57,0.71,25,,
6224,81,587.442637721252,NY3,127,0.57,0.71,26,,
6225,81,106.12941033695,NY3,211,0.57,0.71,10,,
6226,81,188.8307756434,NY3,96,0.57,0.71,25,,
6227,81,123.351301959128,NY3,103,0.57,0.71,26,,
6228,81,143.846959904432,NY3,20,0.57,0.71,30,,gabled
6229,81,839.304194263013,NY3,95,0.57,0.71,15,,flat
