air_quality,area,bbox_id,closest_shop,cloud_cover,humidity,shops_amount,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,67.6267006280541,Berlin1,582,0.61,0.7,0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,33.0768985465728,Berlin1,1055,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,59.6963420007677,Berlin1,260,0.61,0.7,3,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,16.8547499031568,Berlin1,145,0.61,0.7,3,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,125.68188614007,Berlin1,1246,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,58.3790588602074,Berlin1,169,0.61,0.7,2,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,38.1969407274881,Berlin1,579,0.61,0.7,0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,100.107216617768,Berlin1,1195,0.61,0.7,0,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,26.6604365156611,Berlin1,1134,0.61,0.7,0,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,36.3723663319552,Berlin1,1159,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,192.231476720158,Berlin1,891,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,16.1043586154486,Berlin1,106,0.61,0.7,2,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,120.851114451247,Berlin1,824,0.61,0.7,0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,75.5714735650793,Berlin1,426,0.61,0.7,2,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,22.7904813490491,Berlin1,981,0.61,0.7,0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,111.886255120542,Berlin1,729,0.61,0.7,0,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,134.68812166896,Berlin1,1108,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,180.318089021591,Berlin1,522,0.61,0.7,0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,32.387317080241,Berlin1,659,0.61,0.7,0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,59.1477485035924,Berlin1,185,0.61,0.7,3,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81.6054250439734,Berlin1,294,0.61,0.7,2,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,109.059914521003,Berlin1,1597,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,213.706617318819,Berlin1,359,0.61,0.7,1,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,39.9329138530663,Berlin1,1209,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,7.73519776611867,Berlin1,909,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,118.640731372929,Berlin1,1043,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,253.464886546128,Berlin1,1076,0.61,0.7,0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,192.820040059299,Berlin1,147,0.61,0.7,2,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,114.759417806734,Berlin1,598,0.61,0.7,0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,106.3753838213,Berlin1,966,0.61,0.7,0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,16.8505559482972,Berlin1,1154,0.61,0.7,0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,47.8179440931274,Berlin1,1069,0.61,0.7,0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,19.5704375047902,Berlin1,1311,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,97.2999332861356,Berlin1,366,0.61,0.7,1,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,66.3182703182053,Berlin1,1083,0.61,0.7,0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,66.7156924350545,Berlin1,1188,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,107.582920610548,Berlin1,1347,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,42.405473252721,Berlin1,1381,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,126.195783756774,Berlin1,855,0.61,0.7,0,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,61.2615397301849,Berlin1,1337,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,55.6474201931031,Berlin1,242,0.61,0.7,3,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,16.3966461139304,Berlin1,193,0.61,0.7,3,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,17.1038091328052,Berlin1,104,0.61,0.7,3,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,64.6883044317419,Berlin1,1105,0.61,0.7,0,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,16.2090241543999,Berlin1,119,0.61,0.7,3,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,20.2097026600185,Berlin1,1065,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,16.535048445228,Berlin1,1553,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
