,air_quality,area,bbox_id,closest_shop,cloud_cover,humidity,shops_amount,temperature,roof_tupe
7098,87,42.8645001538121,Seattle1,673,0.6,0.81,0,,
7099,87,86.3731676009457,Seattle1,439,0.6,0.81,1,,
7100,88,207.508667464202,Seattle2,2,0.6,0.77,,0,
7101,88,295.966425292382,Seattle2,2,0.6,0.77,,0,
7102,88,165.580692999422,Seattle2,2,0.6,0.77,,0,
7103,88,187.340083797308,Seattle2,2,0.6,0.77,,0,
7104,88,217.629558619098,Seattle2,2,0.6,0.77,,0,
7105,88,165.771607210133,Seattle2,2,0.6,0.77,,0,
7106,88,147.587715698779,Seattle2,2,0.6,0.77,,0,flat
7107,88,248.005763380406,Seattle2,2,0.6,0.77,,0,
7108,88,121.3998148477,Seattle2,2,0.6,0.77,,0,
7109,88,120.046367729222,Seattle2,2,0.6,0.77,,0,
7110,88,349.183026924468,Seattle2,2,0.6,0.77,,0,
7111,88,250.797385629411,Seattle2,2,0.6,0.77,,0,flat
7112,88,82.4667559825166,Seattle2,2,0.6,0.77,,0,
7113,88,196.601460447366,Seattle2,2,0.6,0.77,,0,
7114,88,217.422612447236,Seattle2,2,0.6,0.77,,0,flat
7115,88,273.930884114449,Seattle2,2,0.6,0.77,,0,gabled
7116,88,165.473065179333,Seattle2,2,0.6,0.77,,0,
7117,88,29.6765774465089,Seattle2,2,0.6,0.77,,0,
7118,88,199.075209070927,Seattle2,2,0.6,0.77,,0,
7119,88,18.8626023470325,Seattle2,2,0.6,0.77,,0,
7120,88,127.97774802467,Seattle2,2,0.6,0.77,,0,
7121,88,171.387728011761,Seattle2,2,0.6,0.77,,0,
7122,88,60.0475646782296,Seattle2,2,0.6,0.77,,0,
7123,88,145.117077824611,Seattle2,2,0.6,0.77,,0,
7124,88,181.281533416147,Seattle2,2,0.6,0.77,,0,
7125,88,158.454172701496,Seattle2,2,0.6,0.77,,0,
7126,88,122.64655834931,Seattle2,2,0.6,0.77,,0,flat
7127,88,191.551967865251,Seattle2,2,0.6,0.77,,0,
7128,88,160.630347968602,Seattle2,2,0.6,0.77,,0,
7129,88,187.861548639149,Seattle2,2,0.6,0.77,,0,flat
7130,88,125.510056009022,Seattle2,2,0.6,0.77,,0,
7131,88,46.0863096456135,Seattle2,2,0.6,0.77,,0,
7132,88,125.197293066377,Seattle2,2,0.6,0.77,,0,
7133,88,223.083261189977,Seattle2,2,0.6,0.77,,0,flat
7134,88,215.874657852312,Seattle2,2,0.6,0.77,,0,
7135,88,60.9955107345111,Seattle2,2,0.6,0.77,,0,
7136,88,176.048589038507,Seattle2,2,0.6,0.77,,0,
7137,88,126.055335779292,Seattle2,2,0.6,0.77,,0,
7138,88,51.48882249116,Seattle2,2,0.6,0.77,,0,
7139,88,225.391352646312,Seattle2,2,0.6,0.77,,0,
7140,88,269.569165689502,Seattle2,2,0.6,0.77,,0,
7141,88,214.885455552266,Seattle2,2,0.6,0.77,,0,
7142,88,184.583827543851,Seattle2,2,0.6,0.77,,0,
7143,88,202.355308397173,Seattle2,2,0.6,0.77,,0,
7144,88,379.74737022012,Seattle2,2,0.6,0.77,,0,flat
7145,88,206.438906648649,Seattle2,2,0.6,0.77,,0,flat
7146,88,318.078671008148,Seattle2,2,0.6,0.77,,0,
7147,88,95.6725229709301,Seattle2,2,0.6,0.77,,0,
7148,88,214.200183391787,Seattle2,2,0.6,0.77,,0,
