,Unnamed: 0,Unnamed: 0.1,bbox_id,air_quality,area,closest_shop,cloud_cover,humidity,shops_amount,temperature,inappropriate_type,flat_roof,gabled_roof,round_roof
63,63,1063,Seattle1,87,252.534215252732,958,0.6,0.81,0.0,10.76,0,0,0,0
64,64,1064,Seattle1,87,101.491701228501,1065,0.6,0.81,0.0,10.76,0,0,0,0
65,65,1065,Seattle1,87,94.29460688704859,320,0.6,0.81,1.0,10.72,0,0,0,0
66,66,1066,Seattle1,87,94.09265863956301,1081,0.6,0.81,0.0,10.76,0,0,0,0
67,67,1067,Seattle1,87,192.12541258131301,879,0.6,0.81,0.0,10.76,0,0,0,0
68,68,1068,Seattle1,87,85.3992970275247,338,0.6,0.81,1.0,10.72,0,0,0,0
69,69,1069,Seattle1,87,160.948705597881,486,0.6,0.81,1.0,10.72,0,0,0,0
70,70,1070,Seattle1,87,38.792631556486505,726,0.6,0.81,0.0,10.76,0,0,0,0
71,71,1071,Seattle1,87,112.226113565707,933,0.6,0.81,0.0,10.76,0,0,0,0
72,72,1072,Seattle1,87,153.001307013713,339,0.6,0.81,1.0,10.72,0,0,0,0
73,73,1073,Seattle1,87,124.82070671888701,1258,0.6,0.81,0.0,10.76,0,0,0,0
74,74,1074,Seattle1,87,104.187610344123,697,0.6,0.81,0.0,10.76,0,0,0,1
75,75,1075,Seattle1,87,118.604462908079,584,0.6,0.81,0.0,10.76,0,0,0,0
76,76,1076,Seattle1,87,121.133101532369,780,0.6,0.81,0.0,10.76,0,0,0,0
77,77,1077,Seattle1,87,102.234426636992,752,0.6,0.81,0.0,10.76,0,0,0,0
78,78,1078,Seattle1,87,51.80068840551621,719,0.6,0.81,0.0,10.76,0,0,0,0
79,79,1079,Seattle1,87,138.832986288874,331,0.6,0.81,1.0,10.72,0,0,0,0
80,80,1080,Seattle1,87,43.9152264835565,612,0.6,0.81,0.0,10.76,0,0,0,0
81,81,1081,Seattle1,87,129.41031524607402,670,0.6,0.81,0.0,10.76,0,0,0,0
82,82,1082,Seattle1,87,196.29785622650903,223,0.6,0.81,1.0,10.72,0,1,0,0
83,83,1083,Seattle1,87,540.915135470436,3,0.6,0.81,1.0,10.72,0,0,0,0
84,84,1084,Seattle1,87,23.8968747887103,698,0.6,0.81,0.0,10.76,0,0,0,0
85,85,1085,Seattle1,87,137.719470366251,164,0.6,0.81,1.0,10.72,0,0,0,0
86,86,1086,Seattle1,87,165.094616133274,968,0.6,0.81,0.0,10.76,0,0,0,0
87,87,1087,Seattle1,87,85.66401790455029,766,0.6,0.81,0.0,10.76,0,0,1,0
88,88,1088,Seattle1,87,132.668761024122,509,0.6,0.81,0.0,10.72,0,0,0,0
89,89,1089,Seattle1,87,158.02476345575198,645,0.6,0.81,0.0,10.76,0,0,0,0
90,90,1090,Seattle1,87,93.4934238579592,1125,0.6,0.81,0.0,10.76,0,0,0,0
91,91,1091,Seattle1,87,176.621357952286,780,0.6,0.81,0.0,10.76,0,0,0,0
92,92,1092,Seattle1,87,88.54062317469341,332,0.6,0.81,1.0,10.72,0,0,0,0
93,93,1093,Seattle1,87,28.3854190857866,602,0.6,0.81,0.0,10.72,0,0,0,0
94,94,1094,Seattle1,87,157.00956257687798,1005,0.6,0.81,0.0,10.76,0,0,0,0
95,95,1095,Seattle1,87,131.609395830085,376,0.6,0.81,1.0,10.72,0,0,0,0
